name,address,telephone_number,type,opening_hours,closing_hours
ASSURANCE MEDICARE CLINIC AND SURGERY,"370 TANJONG KATONG ROAD, SINGAPORE
437127",63457810,G,8:00:00 am,8:00:00 pm
BALESTIER MEDICAL CLINIC,"221 BALESTIER RD #02-06, SINGAPORE 329928",60254975,G,8:00:00 am,8:00:00 pm
BETHESDA MEDICAL @ AMK,"709 ANG MO KIO AVENUE 8 #01-2583,
SINGAPORE 560709",64286084,G,8:00:00 am,8:00:00 pm
BETHESDA MEDICAL @ BEACH RD,"152 BEACH ROAD #03-08 GATEWAY EAST,
SINGAPORE 189721",62995398,G,8:00:00 am,8:00:00 pm
BETHESDA MEDICAL @ MACPHERSON,"601 MACPHERSON ROAD #01-03/04 GRANTRAL COMPLEX, SINGAPORE 368242",69046678,G,8:00:00 am,8:00:00 pm
BETHESDA MEDICAL @ MARGARET,"38 MARGARET DRIVE #02-01, SINGAPORE 141038",63223886,G,8:00:00 am,8:00:00 pm
BETHESDA MEDICAL @ SUNTEC,"3 TEMASEK BOULEVARD #03-330 SUNTEC CITY
MALL, SINGAPORE 038983",63378933,G,8:00:00 am,8:00:00 pm
BETHESDA MEDICAL @ TAMPINES,"406 TAMPINES STREET 41 #01-31 SUN PLAZA
GREEN, SINGAPORE 520406",67831806,G,8:00:00 am,8:00:00 pm
BETHESDA MEDICAL @ TPY,"500 LORONG 6 TOA PAYOH #04-33 HDB HUB,
SINGAPORE 310500",62535600,G,8:00:00 am,8:00:00 pm
BETHESDA MEDICAL @ YISHUN,"293 YISHUN STREET 22 #01-223, SINGAPORE
760293",64286081,G,8:00:00 am,8:00:00 pm
CLINIC @ THE SAIL,"2 MARINA BOULEVARD #B1-11/12 THE SAIL @ MARINA BAY, SINGAPORE 018987",62255410,G,8:00:00 am,8:00:00 pm
G S CLINIC & SURGERY,"632 ANG MO KIO AVE 4 #01-960, SINGAPORE
560632",64568967,G,8:00:00 am,8:00:00 pm
GREAT HEALTH MEDICAL CLINIC,"443 ANG MO KIO AVENUE 10 #01-1259,
SINGAPORE 560443",64561767,G,8:00:00 am,8:00:00 pm
HEALTHCARE AMK MEDICAL CLINIC,"157 ANG MO KIO AVENUE 4 #01-578 MAYFLOWER SHOPPING & FOOD CENTRE, SINGAPORE 560157",64511528,G,8:00:00 am,8:00:00 pm
HEALTHWERKZ MEDICAL CENTRE @ BEDOK,"515 BEDOK NORTH AVE 2 #01-205, SINGAPORE
460515",64438322,G,8:00:00 am,8:00:00 pm
HEALTHWERKZ MEDICAL CENTRE @ CENTRIUM,"320 SERANGOON ROAD #16-04 CENTRIUM
SQUARE, SINGAPORE 218108",67345987,G,8:00:00 am,8:00:00 pm
HONG'S CLINIC PEOPLE'S PARK CENTRE,"101 UPPER CROSS STREET #B1-37 PEOPLE'S PARK CENTRE, SINGAPORE 058357",65352169,G,8:00:00 am,8:00:00 pm
JOASH FAMILY CLINIC & SURGERY,"1030 UPPER SERANGOON ROAD, SINGAPORE
534767",62827371,G,8:00:00 am,8:00:00 pm
LIANG CLINIC,"55 SIGLAP ROAD #B1-15/16 SIGLAP CENTRE, SINGAPORE 455871",62415944,G,8:00:00 am,8:00:00 pm
LIM CLINIC,"295 CHANGI ROAD, SINGAPORE 419773",67426335,G,8:00:00 am,8:00:00 pm
LONDON (MH) CLINIC & SURGERY,"104 HOUGANG AVE 1 #01-1123, SINGAPORE
530104",62807262,G,8:00:00 am,8:00:00 pm
MYDOCTOR@ADMIRALTY PTE LTD,"693 WOODLANDS AVENUE 6 #01-03, SINGAPORE
730693",69098365,G,8:00:00 am,8:00:00 pm
ROYAL CARE MEDICAL FAMILY CLINIC CHOA CHU KANG,"818 CHOA CHU KANG AVENUE 1 #01-13,
SINGAPORE 680818",67608784,G,8:00:00 am,8:00:00 pm
ROYAL CARE MEDICAL YISHUN GROVE,"675 YISHUN AVENUE 4 #01-07, SINGAPORE
760675",68152990,G,8:00:00 am,8:00:00 pm
ROYAL CARE MEDICAL YISHUN JUNCTION 9,"317 YISHUN AVENUE 9 #01-03 MULTI STOREY CAR PARK, SINGAPORE 760317",67107338,G,8:00:00 am,8:00:00 pm
SINGMEDICAL CLINIC CLEMENTI,"446 CLEMENTI AVENUE 3 #01-185, SINGAPORE
120446",65183533,G,8:00:00 am,8:00:00 pm
TEBAN GARDEN CLINIC,"61 TEBAN GARDENS RD #01-01 TEBAN PLACE, SINGAPORE 600061",65619052,G,8:00:00 am,8:00:00 pm
THE CLINIC @ APERIA,"12 KALLANG AVENUE #01-08 APERIA, SINGAPORE
339511",63416892,G,8:00:00 am,8:00:00 pm
THE CLINIC @ BUSINESS CITY,"20 PASIR PANJANG ROAD #02-26 MAPLETREE BUSINESS CITY, SINGAPORE 117439",68167180,G,8:00:00 am,8:00:00 pm
THE CLINIC @ CAMPUS,"70 STAMFORD ROAD #B1-21 LI KA SHING LIBRARY BUILDING, SINGAPORE 178901",63339300,G,8:00:00 am,8:00:00 pm
THE CLINIC @ CAPITAGREEN,"138 MARKET STREET #02-01A CAPITAGREEN, SINGAPORE 048946",63846851,G,8:00:00 am,8:00:00 pm
THE CLINIC @ ONE GEORGE STREET,"1 GEORGE STREET #05-05 (LOBBY C), SINGAPORE
049145",64385322,G,8:00:00 am,8:00:00 pm
THE CLINIC @ TAI SENG,"18 TAI SENG STREET #01-07/08 MAPLETREE 18, SINGAPORE 539775",63840160,G,8:00:00 am,8:00:00 pm
THE CLINIC GROUP @ CAPITAL TOWER,"168 ROBINSON ROAD #02-02 CAPITAL TOWER,
SINGAPORE 068912",64385322,G,8:00:00 am,8:00:00 pm
THE CLINIC GROUP @ MARINA ONE,"5 STRAITS VIEW #B2-54 THE HEART, SINGAPORE
018935",62828518,G,8:00:00 am,8:00:00 pm
THE CLINIC GROUP @ WESTGATE,"3 GATEWAY DRIVE #04-25 WESTGATE,
SINGAPORE 608532",63339300,G,8:00:00 am,8:00:00 pm
THE CLINIC@FUSIONOPOLIS,"1 FUSIONOPOLIS PLACE #01-05 GALAXIS,
SINGAPORE 138522",64660602,G,8:00:00 am,8:00:00 pm
THE LOCAL DOCTOR CLINIC,"61 TELOK BLANGAH HEIGHTS #01-107 BLANGAH
GARDEN, SINGAPORE 100061",60190409,G,8:00:00 am,8:00:00 pm
TRUE MEDICAL CLINIC BEDOK SOUTH,"158 BEDOK SOUTH AVENUE 3 #01-587,
SINGAPORE 460158",69042029,G,8:00:00 am,8:00:00 pm
TRUE MEDICAL CLINIC PAYA LEBAR QUARTER,"10 PAYA LEBAR ROAD #04-26 PAYA LEBAR QUARTER, SINGAPORE 409057",69701933,G,8:00:00 am,8:00:00 pm
TRUE MEDICAL CLINIC TAMPINES WEST,"824 TAMPINES STREET 81 #01-26 TAMPINES
GROVE, SINGAPORE 520824",69090324,G,8:00:00 am,8:00:00 pm
UNITY MEDICAL CLINIC,"501 WEST COAST DRIVE #01-250, SINGAPORE
120501",65189379,G,8:00:00 am,8:00:00 pm
W Y TEH FAMILY CLINIC AND SURGERY,"462 TAMPINES STREET 44 #01-60, SINGAPORE
520462",67836802,G,8:00:00 am,8:00:00 pm
WHAMPOA CLINIC,"88 WHAMPOA DR #01-863, SINGAPORE 320088",62521020,G,8:00:00 am,8:00:00 pm
WONG FAMILY CLINIC & SURGERY PTE LTD,"117 BEDOK RESERVOIR RD #01-68, SINGAPORE
470117",68461613,G,8:00:00 am,8:00:00 pm
1 ALJUNIED MEDICAL,"389 UPPER ALJUNIED ROAD MACPHERSON GARDEN ESTATE, SINGAPORE 367874",62861923,G,8:00:00 am,8:00:00 pm
360 CLINIC,"407 ANG MO KIO AVENUE 10 #01-749 TECK GHEE
SQUARE, SINGAPORE 560407",82180926,G,8:00:00 am,8:00:00 pm
ACEHEALTH MEDICAL,"316B ANG MO KIO STREET 31 #01-10 TECK GHEE VISTA, SINGAPORE 563316",62526772,G,8:00:00 am,8:00:00 pm
AMK FAMILY CLINIC,"716 ANG MO KIO AVENUE 6 #01-4024,
SINGAPORE 560716",64544204,G,8:00:00 am,8:00:00 pm
AN MEDICAL CLINIC@AMK,"722 ANG MO KIO AVENUE 8 #01-2831,
SINGAPORE 560722",69042468,G,8:00:00 am,8:00:00 pm
ANSARI FAMILY CLINIC & SURGERY,"78 LORONG 25A GEYLANG ROAD, SINGAPORE
388259",67430714,G,8:00:00 am,8:00:00 pm
APPLETREE MEDICAL,"416 ANG MO KIO AVENUE 10 #01-1003,
SINGAPORE 560416",64548361,G,8:00:00 am,8:00:00 pm
ASHFORD MEDICAL CENTRE,"79 SERANGOON GARDEN WAY #01-01 SERANGOON GARDEN ESTATE, SINGAPORE 555975",62659146,G,8:00:00 am,8:00:00 pm
ATRIO FAMILY CLINIC,"291 YISHUN STREET 22 #01-349, SINGAPORE
760291",67520838,G,8:00:00 am,8:00:00 pm
ATRIO FAMILY CLINIC (AMK) PTE. LTD.,"532 ANG MO KIO AVENUE 10 #01-2461 CHENG SAN CENTRE, SINGAPORE 560532",64554282,G,8:00:00 am,8:00:00 pm
B T GOH FAMILY CLINIC & SURGERY,"194 KIM KEAT AVE #01-406, SINGAPORE 310194",63544535,G,8:00:00 am,8:00:00 pm
BEACON CLINIC AND SURGERY,"531 ANG MO KIO 10 #01-2447, SINGAPORE
560531",69700802,G,8:00:00 am,8:00:00 pm
BELIEF MEDICAL,"809 FRENCH ROAD #02-32 KITCHENER COMPLEX,
SINGAPORE 200809",,G,8:00:00 am,8:00:00 pm
BINJAI MEDICAL CLINIC,"23 BINJAI PARK, SINGAPORE 589828",64693737,G,8:00:00 am,8:00:00 pm
C3 FAMILY CLINIC @ALJUNIED CRESCENT,"95 ALJUNIED CRESCENT #01-509 MACPHERSON
VIEW, SINGAPORE 380095",67422285,G,8:00:00 am,8:00:00 pm
CANARY MEDICAL CLINIC,"182 WOODLANDS STREET 13 #01-04 MARSILING
GREENVIEW, SINGAPORE 730182",62352880,G,8:00:00 am,8:00:00 pm
CARE & CURE MEDICAL CLINIC AND SURGERY,"76 CIRCUIT ROAD #01-07 MULTI STOREY CAR PARK, SINGAPORE 370076",89477590,G,8:00:00 am,8:00:00 pm
CAREDOC MEDICAL CLINIC,"215 ANG MO KIO AVENUE 1 #01-907, SINGAPORE
560215",65184771,G,8:00:00 am,8:00:00 pm
CARELINK FAMILY CLINIC,"400 BALESTIER ROAD #01-08 BALESTIER PLAZA,
SINGAPORE 329802",62545287,G,8:00:00 am,8:00:00 pm
"CARELITE MEDICAL CLINIC (LEE CLINIC, AMK)","505 ANG MO KIO AVENUE 8 #01-2684 CHENG SAN CREST, SINGAPORE 560505",83885500,G,8:00:00 am,8:00:00 pm
CENTRAL 24-HR CLINIC (MARSILING),"303 WOODLANDS STREET 31 #01-185,
SINGAPORE 730303",63652908,G,8:00:00 am,8:00:00 pm
CENTRAL 24-HR CLINIC (WOODLANDS),"768 WOODLANDS AVENUE 6 #02-06A WOODLANDS MART, SINGAPORE 730768",63654895,G,8:00:00 am,8:00:00 pm
CENTRAL 24-HR CLINIC (YISHUN),"701A YISHUN AVE 5 #01-04, SINGAPORE 761701",67597985,G,8:00:00 am,8:00:00 pm
CHARAZOI MEDICAL CLINIC,"161 LAVENDER STREET #01-10 LAVENDER PLACE,
SINGAPORE 338750",68027972,G,8:00:00 am,8:00:00 pm
CHIA CLINIC AND SURGERY,"27 FOCH ROAD #01-04 HOA NAM BUILDING, SINGAPORE 209264",62980959,G,8:00:00 am,8:00:00 pm
CHNG CLINIC AND SURGERY,"178 TOA PAYOH CENTRAL #01-236, SINGAPORE
310178",62504522,G,8:00:00 am,8:00:00 pm
CHUA CLINIC,"678 HOUGANG AVE 8 #01-513, SINGAPORE
530678",63865720,G,8:00:00 am,8:00:00 pm
CHUA CLINIC & SURGERY,"844 YISHUN ST 81 #01-156, SINGAPORE 760844",67521603,G,8:00:00 am,8:00:00 pm
CHUAH CLINIC & SURGERY PTE LTD,"113 ALJUNIED AVE 2 #01-19, SINGAPORE 380113",67452104,G,8:00:00 am,8:00:00 pm
CHUNG & EE MEDICAL CLINIC,"10 TELOK BLANGAH CRESCENT #01-151,
SINGAPORE 090010",69963782,G,8:00:00 am,8:00:00 pm
CLAREMONT MEDICAL CLINIC,"28 SERANGOON NORTH AVENUE 1 #01-61 AFFINITY AT SERANGOON, SINGAPORE 554341",69808565,G,8:00:00 am,8:00:00 pm
CLARION MEDICAL,"202 ANG MO KIO AVENUE 3 #01-1676 ANG MO KIO VIEW, SINGAPORE 560202",63530818,G,8:00:00 am,8:00:00 pm
COMFORT CLINIC & SURGERY,"214 SERANGOON AVE 4 #01-100, SINGAPORE
550214",62807271,G,8:00:00 am,8:00:00 pm
CONCORD MEDICAL CLINIC,"713 ANG MO KIO AVENUE 6 #01-4052,
SINGAPORE 560713",64563535,G,8:00:00 am,8:00:00 pm
CREST FAMILY CLINIC PTE. LTD.,"724 WOODLANDS AVE 6 #01-502, SINGAPORE
730724",63650906,G,8:00:00 am,8:00:00 pm
DAILY MEDICAL CENTRE,"159 HOUGANG STREET 11 #01-17, SINGAPORE
530159",62843218,G,8:00:00 am,8:00:00 pm
DOCTORS CLINIC & SURGERY,"305 WOODLANDS STREET 31 #01-91, SINGAPORE
730305",62691017,G,8:00:00 am,8:00:00 pm
DR JOYCE & PARTNERS FAMILY CLINIC,"224A SUMANG LANE #01-01 MATILDA EDGE, SINGAPORE 821224",69267607,G,8:00:00 am,8:00:00 pm
DR JOYCE & PARTNERS FAMILY CLINIC (TOA PAYOH BRANCH),"178 TOA PAYOH CENTRAL #01-224, SINGAPORE
310178",68023507,G,8:00:00 am,8:00:00 pm
DR NAH & LEE FAMILY CLINIC,"780 WOODLANDS CRESCENT #01-03 MULTI STOREY CAR PARK, SINGAPORE 730780",62501528,G,8:00:00 am,8:00:00 pm
DR PANDA MEDICAL CENTRE,"20 SIN MING LANE #01-65 MIDVIEW CITY, SINGAPORE 573968",69807757,G,8:00:00 am,8:00:00 pm
DR+ MEDICAL & PAINCARE ANG MO KIO,"529 ANG MO KIO AVENUE 10 #01-2353 CHENG SAN CENTRE, SINGAPORE 560529",63363491,G,8:00:00 am,8:00:00 pm
DR+ MEDICAL & PAINCARE HOUGANG,"1187 UPPER SERANGOON ROAD #01-54 THE
MIDTOWN, SINGAPORE 533971",63200118,G,8:00:00 am,8:00:00 pm
DR+ MEDICAL & PAINCARE MARSILING,"18 MARSILING LANE #01-269, SINGAPORE 730018",62697435,G,8:00:00 am,8:00:00 pm
DR+ MEDICAL PAINCARE CLINIC,"988 UPPER SERANGOON ROAD #01-07 STARS OF KOVAN, SINGAPORE 534733",69086570,G,8:00:00 am,8:00:00 pm
E MEDICAL CLINIC & SURGERY,"126 LORONG 1 TOA PAYOH #01-567, SINGAPORE
310126",63569391,G,8:00:00 am,8:00:00 pm
EDGEDALE MEDICAL CLINIC (BISHAN),"212 BISHAN STREET 23 #B1-257, SINGAPORE
570212",60150701,G,8:00:00 am,8:00:00 pm
EE CLINIC,"128 ANG MO KIO AVE 3 #01-1859, SINGAPORE
560128",64521042,G,8:00:00 am,8:00:00 pm
EH MEDICAL,"785E WOODLANDS RISE #01-12, SINGAPORE
735785",62511526,G,8:00:00 am,8:00:00 pm
ELISSA MEDICAL CLINIC,"1 HOUGANG STREET 91 #01-21 HOUGANG 1,
SINGAPORE 538692",63122632,G,8:00:00 am,8:00:00 pm
ETERNA MEDICAL CLINIC,"629 ANG MO KIO AVENUE 4 #01-994, SINGAPORE
560629",68023050,G,8:00:00 am,8:00:00 pm
EVERWELL CLINIC & SURGERY,"45 OWEN RD #01-289, SINGAPORE 210045",62969429,G,8:00:00 am,8:00:00 pm
EXCEL FAMILY CLINIC,"21 HOUGANG ST 51 #01-06 HOUGANG GREEN SHOPPING MALL, SINGAPORE 538719",63865278,G,8:00:00 am,8:00:00 pm
FAIRCARE FAMILY CLINIC (MACPHERSON),"76 CIRCUIT ROAD #01-03 MULTI STOREY CAR PARK, SINGAPORE 370076",60220869,G,8:00:00 am,8:00:00 pm
FAIRCARE FAMILY CLINIC (YISHUN),"103 YISHUN RING ROAD #01-73, SINGAPORE
760103",69709691,G,8:00:00 am,8:00:00 pm
FAITH CLINIC (TOA PAYOH),"211 TOA PAYOH LOR 8 #01-19, SINGAPORE
310211",62527896,G,8:00:00 am,8:00:00 pm
FAITH CLINIC (YISHUN),"598 YISHUN RING ROAD #01-11 WISTERIA MALL, SINGAPORE 768698",63391129,G,8:00:00 am,8:00:00 pm
FAITH MEDICAL (NORTHPOINT),"1 NORTHPOINT DRIVE #B1-176 NORTHPOINT CITY, SINGAPORE 768019",63224211,G,8:00:00 am,8:00:00 pm
FAMFIRST MEDICAL CLINIC PTE LTD,"513 YISHUN STREET 51 #01-03 SARACA BREEZE @
YISHUN, SINGAPORE 760513",69740800,G,8:00:00 am,8:00:00 pm
FAMILY CARE MEDICAL CENTRE PTE LTD,"916 HOUGANG AVE 9 #01-08, SINGAPORE 530916",63855177,G,8:00:00 am,8:00:00 pm
FAMILY MEDICARE CLINIC & SURGERY,"721 ANG MO KIO AVE 8 #01-2815, SINGAPORE
560721",64566582,G,8:00:00 am,8:00:00 pm
FEMA CLINIC & SURGERY,"10 SINARAN DRIVE #09-32 NOVENA MEDICAL
CENTER, SINGAPORE 307506",63972012,G,8:00:00 am,8:00:00 pm
FIRST MEDICAL CLINIC & SURGERY,"167 WOODLANDS ST 11 #01-11, SINGAPORE
730167",63680111,G,8:00:00 am,8:00:00 pm
FULLERTON HEALTH @ MICRON FAB10N,"1 NORTH COAST DRIVE, SINGAPORE 757432",66370333,G,8:00:00 am,8:00:00 pm
FULLERTON HEALTH @ MICRON MSB,"990 BENDEMEER ROAD MICRON BUILDING, SINGAPORE 339942",62903225,G,8:00:00 am,8:00:00 pm
FULLERTON HEALTH @ STATS CHIPPAC,"5 YISHUN STREET 23, SINGAPORE 768442",68241300,G,8:00:00 am,8:00:00 pm
FULLERTON HEALTH @ USG 1,"5 SERANGOON NORTH AVENUE 5 LEVEL 1, UNITED TEST & ASSEMBLY CENTER LTD, SINGAPORE 554916",65511285,G,8:00:00 am,8:00:00 pm
FULLERTON HEALTH HUB @ HOUGANG GREEN,"21 HOUGANG STREET 51 #01-46 HOUGANG GREEN SHOPPING MALL, SINGAPORE 538719",63333636,G,8:00:00 am,8:00:00 pm
FULLERTON HEALTHCARE SCREENING CENTRE @ NOVENA,"238B THOMSON ROAD #05-01 NOVENA SQUARE TOWER B, SINGAPORE 307685",63333636,G,8:00:00 am,8:00:00 pm
GETHIN -JONES MEDICAL PRACTICE PTE LTD,"205 BRADDELL ROAD, SINGAPORE 579701",63837186,G,8:00:00 am,8:00:00 pm
GOH CLINIC & SURGERY,"204 HOUGANG ST 21 #01-101, SINGAPORE
530204",63863836,G,8:00:00 am,8:00:00 pm
GREENLINK MEDICAL CLINIC,"807 YISHUN RING ROAD #01-4213, SINGAPORE
760807",67552238,G,8:00:00 am,8:00:00 pm
HEAL MEDICAL CENTRE,"262 BALESTIER ROAD #04-01/02 OKIO, SINGAPORE 329714",62509550,G,8:00:00 am,8:00:00 pm
HEALTHCARE MEDICAL @ KOVAN,"208 HOUGANG STREET 21 #01-205, SINGAPORE
530208",62821118,G,8:00:00 am,8:00:00 pm
HEALTHCARE UNITED,"70 LORONG 4 TOA PAYOH #01-335 TOA PAYOH
VISTA, SINGAPORE 310070",69043215,G,8:00:00 am,8:00:00 pm
HEALTHWAY MEDICAL,"90 HOUGANG AVENUE 10 #04-06 HOUGANG
MALL, SINGAPORE 538766",63437620,G,8:00:00 am,8:00:00 pm
HEALTHWAY MEDICAL,"417 YISHUN AVE 11 #01-321, SINGAPORE 760417",67537626,G,8:00:00 am,8:00:00 pm
HEALTHWAY MEDICAL,"101 YISHUN AVENUE 5 #01-15, SINGAPORE
760101",67551345,G,8:00:00 am,8:00:00 pm
HEALTHWAY MEDICAL,"461 YISHUN AVENUE 6 #01-05, SINGAPORE
760461",62354824,G,8:00:00 am,8:00:00 pm
HEALTHWAY MEDICAL,"721 ANG MO KIO AVENUE 8 #01-2805,
SINGAPORE 560721",64554629,G,8:00:00 am,8:00:00 pm
HEALTHWAY MEDICAL,"30 SEMBAWANG DRIVE #03-20 SUN PLAZA,
SINGAPORE 757713",65551445,G,8:00:00 am,8:00:00 pm
HEALTHWAY MEDICAL,"803 KING GEORGE'S AVENUE #01-144,
SINGAPORE 200803",62939883,G,8:00:00 am,8:00:00 pm
HEALTHWAY MEDICAL,"717 WOODLANDS DRIVE 70 #01-114, SINGAPORE
730717",63647450,G,8:00:00 am,8:00:00 pm
HEALTHWAY MEDICAL,"101 TOWNER ROAD #01-236, SINGAPORE 322101",62977592,G,8:00:00 am,8:00:00 pm
HEALTHWAY MEDICAL,"177 TOA PAYOH CENTRAL #01-130, SINGAPORE
310177",62553773,G,8:00:00 am,8:00:00 pm
HEALTHWAY MEDICAL,"10 SINARAN DRIVE #09-36 NOVENA MEDICAL
CENTER, SINGAPORE 307506",63528696,G,8:00:00 am,8:00:00 pm
HEALTHWAY MEDICAL,"108 HOUGANG AVE 1 #01-1299, SINGAPORE
530108",62849692,G,8:00:00 am,8:00:00 pm
HEALTHWAY MEDICAL,"168 PUNGGOL FIELD #02-07A, SINGAPORE 820168",63153493,G,8:00:00 am,8:00:00 pm
HEALTHWAY MEDICAL,"406 SEMBAWANG DR #01-820, SINGAPORE
750406",65556674,G,8:00:00 am,8:00:00 pm
HEALTHWAY MEDICAL,"95 ALJUNIED CRESCENT #01-521, SINGAPORE
380095",63234415,G,8:00:00 am,8:00:00 pm
HEALTHWAY MEDICAL,"888 WOODLANDS DR 50 #02-737 888 PLAZA,
SINGAPORE 730888",63649661,G,8:00:00 am,8:00:00 pm
HEALTHWERKZ MEDICAL CENTRE,"355 SEMBAWANG WAY #01-02, SINGAPORE
750355",67557115,G,8:00:00 am,8:00:00 pm
HEALTHWISE MEDICAL CLINIC & SURGERY,"41 JALAN TIGA #01-07, SINGAPORE 390041",62412889,G,8:00:00 am,8:00:00 pm
HL FAMILY CLINIC & SURGERY PTE LTD,"111 JALAN BUKIT MERAH #01-1704, SINGAPORE
160111",62785966,G,8:00:00 am,8:00:00 pm
HMI ONECARE CLINIC ALJUNIED MRT,"81 LORONG 25 GEYLANG #01-03 ALJUNIED MRT
STATION, SINGAPORE 388310",69045871,G,8:00:00 am,8:00:00 pm
HMI ONECARE CLINIC ANG MO KIO,"452 ANG MO KIO AVENUE 10 #01-1789,
SINGAPORE 560452",65920764,G,8:00:00 am,8:00:00 pm
HMI ONECARE CLINIC BISHAN,"279 BISHAN STREET 24 #01-44, SINGAPORE
570279",65133439,G,8:00:00 am,8:00:00 pm
HMI ONECARE CLINIC CANBERRA,"105 CANBERRA STREET #01-09, SINGAPORE
750105",62513778,G,8:00:00 am,8:00:00 pm
HMI ONECARE CLINIC HOUGANG AVE 1,"104 HOUGANG AVENUE 1 #01-1125, SINGAPORE
530104",62611580,G,8:00:00 am,8:00:00 pm
HMI ONECARE CLINIC HOUGANG AVE 8,"681 HOUGANG AVENUE 8 #01-835 HOUGANG
VILLAGE, SINGAPORE 530681",69700811,G,8:00:00 am,8:00:00 pm
HMI ONECARE CLINIC JUNCTION 9,"18 YISHUN AVENUE 9 #01-35 JUNCTION NINE,
SINGAPORE 768897",65139351,G,8:00:00 am,8:00:00 pm
HMI ONECARE CLINIC SERANGOON NORTH,"153 SERANGOON NORTH AVENUE 1 #01-480,
SINGAPORE 550153",65139011,G,8:00:00 am,8:00:00 pm
HMI ONECARE CLINIC WOODLANDS,"4 WOODLANDS STREET 12 #02-57, SINGAPORE
738623",63632919,G,8:00:00 am,8:00:00 pm
HOLISTIC CARE FAMILY CLINIC,"455 SENGKANG WEST AVENUE #01-10 MULTI STOREY CAR PARK, SINGAPORE 790455",65134757,G,8:00:00 am,8:00:00 pm
HOPE FAMILY CLINIC AND SURGERY,"883 WOODLANDS ST 82 #02-466A WOODLANDS NORTH PLAZA, SINGAPORE 730883",63691328,G,8:00:00 am,8:00:00 pm
HOUGANG CENTRAL MEDICAL CLINIC,"804 HOUGANG CENTRAL #01-124, SINGAPORE
530804",63820405,G,8:00:00 am,8:00:00 pm
"HUA MEI CLINIC, WHAMPOA","300 WHAMPOA DRIVE #02-06 WHAMPOA COMMUNITY CLUB, SINGAPORE 327737",66619545,G,8:00:00 am,8:00:00 pm
HUI CLINIC + SURGERY,"157 ANG MO KIO AVE 4 #01-566, SINGAPORE
560157",64588596,G,8:00:00 am,8:00:00 pm
IDOC CLINIC,"21 HOUGANG STREET 51 #01-43 HOUGANG GREEN SHOPPING MALL, SINGAPORE 538719",69093485,G,8:00:00 am,8:00:00 pm
